Time_Period,All_retailing_including_automotive_fuel,Month_as_a_%_of_Total,All_Retailing_excluding_automotive_fuel,Month_as_a_%_of_Total_excluding_automotive_fuel,Predominantly_food_stores,Total_non-food_stores,Non-specialised_stores,"Textile,_clothing_and_footwear_stores",Household_goods_stores,Other_stores,Non-store_retailing,Automotive_fuel,Total_Annual_Sales_for_All_Retailing_including_automotive_fuel,Total_Annual_Sales_for_All_Retailing_excluding_automotive_fuel
2001JAN,17185514.00,6.92,15530550.00,6.86,6550378.00,8221627.00,1397352.00,2036360.00,2421812.00,2366103.00,758545.00,1654964.00,,
2001FEB,17316622.00,6.97,15592693.00,6.89,6926231.00,7870110.00,1351049.00,1814178.00,2319663.00,2385220.00,796352.00,1723929.00,,
2001MAR,21988712.00,8.86,19967692.00,8.82,8881608.00,10017674.00,1721275.00,2393303.00,2872461.00,3030635.00,1068410.00,2021020.00,,
2001APR,18287381.00,7.36,16622427.00,7.34,7244164.00,8561127.00,1456240.00,2074353.00,2426639.00,2603895.00,817136.00,1664954.00,,
2001MAY,18670007.00,7.52,16969881.00,7.49,7426524.00,8687166.00,1440215.00,2246096.00,2328889.00,2671966.00,856191.00,1700126.00,,
2001JUN,23181323.00,9.34,20965379.00,9.26,9223154.00,10701880.00,1814381.00,2748969.00,2822800.00,3315730.00,1040345.00,2215944.00,,
2001JUL,18835301.00,7.59,17114988.00,7.56,7354441.00,8876431.00,1543343.00,2330853.00,2320963.00,2681272.00,884116.00,1720313.00,,
2001AUG,18363262.00,7.40,16670944.00,7.36,7268777.00,8588191.00,1468454.00,2167341.00,2333350.00,2619046.00,813976.00,1692318.00,,
2001SEP,23098388.00,9.30,20970517.00,9.26,8947891.00,10838089.00,1826163.00,2856426.00,2949644.00,3205856.00,1184537.00,2127871.00,,
2001OCT,19161084.00,7.72,17506456.00,7.73,7285060.00,9204171.00,1576599.00,2375595.00,2600533.00,2651444.00,1017225.00,1654628.00,,
2001NOV,20911821.00,8.42,19264570.00,8.51,7682107.00,10493918.00,2045233.00,2761687.00,2693723.00,2993275.00,1088545.00,1647251.00,TOTAL SALES IN 2001 £000s,
2001DEC,31312559.00,12.61,29284128.00,12.93,10909337.00,17126995.00,3602195.00,4762383.00,4006231.00,4756186.00,1247796.00,2028431.00,"24,83,11,974","22,64,60,225"
2002JAN,22517156.00,8.55,20564125.00,8.52,8816842.00,10769833.00,1832999.00,2599130.00,3144599.00,3193105.00,977450.00,1953031.00,,
2002FEB,18418939.00,7.00,16732109.00,6.93,7375280.00,8483481.00,1398487.00,1972760.00,2445617.00,2666617.00,873348.00,1686830.00,,
2002MAR,23700832.00,9.00,21628053.00,8.96,9401066.00,11184753.00,1814901.00,2679847.00,3192246.00,3497759.00,1042234.00,2072779.00,,
2002APR,19572656.00,7.43,17761827.00,7.36,7593865.00,9303139.00,1460687.00,2325811.00,2506357.00,3010284.00,864823.00,1810829.00,,
2002MAY,19433791.00,7.38,17717464.00,7.34,7660266.00,9206280.00,1466234.00,2296096.00,2484147.00,2959803.00,850918.00,1716327.00,,
2002JUN,23691576.00,9.00,21674542.00,8.98,9498373.00,11088350.00,1786729.00,2892156.00,2888285.00,3521180.00,1087819.00,2017034.00,,
2002JUL,19580739.00,7.44,18009350.00,7.46,7686873.00,9419275.00,1625559.00,2519880.00,2412452.00,2861384.00,903202.00,1571389.00,,
2002AUG,18939219.00,7.19,17379265.00,7.20,7529542.00,8951327.00,1486220.00,2367260.00,2397019.00,2700828.00,898396.00,1559954.00,,
2002SEP,23900813.00,9.08,21770692.00,9.02,9302577.00,11285492.00,1874768.00,2882112.00,3088226.00,3440386.00,1182623.00,2130121.00,,
2002OCT,20055959.00,7.62,18396348.00,7.62,7602231.00,9752094.00,1681965.00,2603654.00,2642084.00,2824391.00,1042023.00,1659611.00,,
2002NOV,21947770.00,8.34,20316348.00,8.41,7999872.00,11175088.00,2230316.00,2878800.00,2856144.00,3209828.00,1141388.00,1631422.00,TOTAL SALES IN 2002 £000s,
2002DEC,31543126.00,11.98,29524724.00,12.23,11092500.00,17242543.00,3584999.00,4888253.00,4013835.00,4755456.00,1189681.00,2018402.00,"26,33,02,576","24,14,74,847"
2003JAN,18461975.00,6.96,16767509.00,6.94,7328547.00,8688288.00,1488819.00,2150865.00,2476201.00,2572403.00,750674.00,1694466.00,,
2003FEB,18751591.00,7.07,16905644.00,6.99,7549284.00,8579636.00,1405372.00,2052008.00,2429796.00,2692460.00,776724.00,1845947.00,,
2003MAR,24031335.00,9.06,21681161.00,8.97,9621550.00,11086475.00,1809349.00,2768411.00,3018409.00,3490306.00,973136.00,2350174.00,,
2003APR,19907573.00,7.50,18106540.00,7.49,7988232.00,9354883.00,1512414.00,2394746.00,2571451.00,2876272.00,763425.00,1801033.00,,
2003MAY,19466961.00,7.34,17747642.00,7.34,7815315.00,9186577.00,1477505.00,2371784.00,2491344.00,2845944.00,745750.00,1719319.00,,
2003JUN,24691821.00,9.31,22398749.00,9.26,9942589.00,11489091.00,1880239.00,3076271.00,2911055.00,3621526.00,967069.00,2293072.00,,
2003JUL,20084358.00,7.57,18248072.00,7.55,7929683.00,9536123.00,1618633.00,2628976.00,2427014.00,2861500.00,782266.00,1836286.00,,
2003AUG,19563965.00,7.37,17719119.00,7.33,7895134.00,9072853.00,1528935.00,2380750.00,2402520.00,2760648.00,751132.00,1844846.00,,
2003SEP,24761449.00,9.33,22361225.00,9.25,9701708.00,11608122.00,1908711.00,3114952.00,3065474.00,3518985.00,1051395.00,2400224.00,,
2003OCT,20695683.00,7.80,18837552.00,7.79,7906490.00,9986980.00,1738718.00,2707335.00,2640145.00,2900782.00,944082.00,1858131.00,,
2003NOV,22507252.00,8.48,20695697.00,8.56,8264281.00,11332509.00,2236898.00,2945679.00,2806983.00,3342949.00,1098907.00,1811555.00,TOTAL SALES IN 2003 £000s,
2003DEC,32410877.00,12.22,30290421.00,12.53,11446811.00,17657081.00,3702474.00,4881143.00,4046844.00,5026620.00,1186529.00,2120456.00,"26,53,34,840","24,17,59,331"
2004JAN,19399409.00,6.98,17750411.00,7.02,7673890.00,9271427.00,1523609.00,2310487.00,2630455.00,2806876.00,805094.00,1648998.00,,
2004FEB,19448556.00,7.00,17671676.00,6.99,7863644.00,8966940.00,1455929.00,2133901.00,2524761.00,2852349.00,841092.00,1776880.00,,
2004MAR,25015657.00,9.00,22717032.00,8.98,10007236.00,11620549.00,1868040.00,2915201.00,3111019.00,3726289.00,1089247.00,2298625.00,,
2004APR,20745770.00,7.47,18890581.00,7.47,8204295.00,9830020.00,1545973.00,2529171.00,2664468.00,3090408.00,856266.00,1855189.00,,
2004MAY,20823070.00,7.49,18966051.00,7.50,8257080.00,9833586.00,1554858.00,2614004.00,2543496.00,3121228.00,875385.00,1857019.00,,
2004JUN,26172823.00,9.42,23711057.00,9.37,10335921.00,12257780.00,1952110.00,3242740.00,3065096.00,3997834.00,1117356.00,2461766.00,,
2004JUL,21087858.00,7.59,19119391.00,7.56,8206143.00,10033125.00,1633655.00,2676910.00,2568636.00,3153924.00,880123.00,1968467.00,,
2004AUG,20615574.00,7.42,18615711.00,7.36,8196628.00,9617638.00,1609515.00,2542355.00,2510540.00,2955228.00,801445.00,1999863.00,,
2004SEP,25948115.00,9.34,23435397.00,9.26,10055796.00,12202083.00,1969704.00,3250840.00,3236469.00,3745070.00,1177518.00,2512718.00,,
2004OCT,21705159.00,7.81,19547765.00,7.73,8197166.00,10334875.00,1726854.00,2845602.00,2702518.00,3059901.00,1015724.00,2157394.00,,
2004NOV,23532092.00,8.47,21528014.00,8.51,8614695.00,11749186.00,2273900.00,3098727.00,2944748.00,3431811.00,1164133.00,2004078.00,TOTAL SALES IN 2004 £000s,
2004DEC,33355258.00,12.00,30999081.00,12.25,11904805.00,17806895.00,3659914.00,5024801.00,3977909.00,5144271.00,1287381.00,2356177.00,"27,78,49,341","25,29,52,167"
2005JAN,19643632.00,6.98,17949980.00,7.02,7905252.00,9203698.00,1544594.00,2300703.00,2671901.00,2686500.00,841030.00,1693652.00,,
2005FEB,19833146.00,7.05,17943886.00,7.02,8121182.00,8911866.00,1467645.00,2208336.00,2469624.00,2766261.00,910838.00,1889260.00,,
2005MAR,25629739.00,9.11,23270130.00,9.10,10413894.00,11769131.00,1967073.00,2978150.00,3126413.00,3697495.00,1087105.00,2359609.00,,
2005APR,20878021.00,7.42,18813871.00,7.36,8391849.00,9500408.00,1490434.00,2491037.00,2503236.00,3015701.00,921614.00,2064150.00,,
2005MAY,20930968.00,7.44,18889100.00,7.39,8463187.00,9571127.00,1485321.00,2587455.00,2445808.00,3052543.00,854786.00,2041868.00,,
2005JUN,26525512.00,9.42,23893989.00,9.35,10701921.00,12120002.00,1924930.00,3324243.00,2949720.00,3921109.00,1072066.00,2631523.00,,
2005JUL,21379068.00,7.60,19231168.00,7.52,8522523.00,9855463.00,1580158.00,2717622.00,2423135.00,3134548.00,853182.00,2147900.00,,
2005AUG,20705079.00,7.36,18698322.00,7.31,8334233.00,9543808.00,1551625.00,2518697.00,2373855.00,3099631.00,820281.00,2006757.00,,
2005SEP,26029479.00,9.25,23382649.00,9.15,10335386.00,11969595.00,1915946.00,3235931.00,3025732.00,3791986.00,1077668.00,2646830.00,,
2005OCT,21652159.00,7.69,19656630.00,7.69,8418514.00,10244256.00,1702252.00,2765864.00,2586164.00,3189976.00,993860.00,1995529.00,,
2005NOV,23698210.00,8.42,21707542.00,8.49,8905251.00,11672131.00,2250197.00,3172358.00,2734704.00,3514872.00,1130160.00,1990668.00,TOTAL SALES IN 2005 £000s,
2005DEC,34545374.00,12.27,32248538.00,12.61,12479849.00,18445226.00,3817222.00,5186241.00,4040817.00,5400946.00,1323463.00,2296836.00,"28,14,50,387","25,56,85,805"
2006JAN,20027301.00,6.86,17881292.00,6.83,7906267.00,9167564.00,1518907.00,2323027.00,2600677.00,2724953.00,807461.00,2146009.00,,
2006FEB,20275701.00,6.94,18067817.00,6.90,8347940.00,8859702.00,1445898.00,2219861.00,2374116.00,2819827.00,860175.00,2207884.00,,
2006MAR,26123705.00,8.94,23195423.00,8.85,10535302.00,11498512.00,1931858.00,3013490.00,2969869.00,3583295.00,1161609.00,2928282.00,,
2006APR,21730478.00,7.44,19391862.00,7.40,8684617.00,9841506.00,1600360.00,2613451.00,2601223.00,3026472.00,865739.00,2338616.00,,
2006MAY,21873904.00,7.49,19430009.00,7.42,8671020.00,9870331.00,1591770.00,2741665.00,2462745.00,3074151.00,888658.00,2443895.00,,
2006JUN,27664408.00,9.47,24628331.00,9.40,11167348.00,12344606.00,1977788.00,3419048.00,3032970.00,3914800.00,1116377.00,3036077.00,,
2006JUL,22284388.00,7.63,19782424.00,7.55,8974858.00,9974458.00,1665276.00,2877647.00,2399727.00,3031808.00,833108.00,2501964.00,,
2006AUG,21770101.00,7.45,19360147.00,7.39,8687391.00,9791245.00,1638107.00,2667985.00,2484433.00,3000720.00,881511.00,2409954.00,,
2006SEP,27031162.00,9.25,24047456.00,9.18,10833057.00,12092197.00,1977777.00,3355865.00,3087739.00,3670816.00,1122202.00,2983706.00,,
2006OCT,22492840.00,7.70,20260435.00,7.73,8789531.00,10461013.00,1784177.00,2998876.00,2598548.00,3079412.00,1009891.00,2232405.00,,
2006NOV,24534351.00,8.40,22293340.00,8.51,9231950.00,11868446.00,2275611.00,3321567.00,2819083.00,3452185.00,1192944.00,2241011.00,TOTAL SALES IN 2006 £000s,
2006DEC,36301322.00,12.43,33644919.00,12.84,13168480.00,19074527.00,3944222.00,5560365.00,4142576.00,5427364.00,1401912.00,2656403.00,"29,21,09,661","26,19,83,455"
2007JAN,20467702.00,6.74,18334244.00,6.76,8266740.00,9233058.00,1560201.00,2345635.00,2704260.00,2622962.00,834446.00,2133458.00,,
2007FEB,21034362.00,6.93,18826394.00,6.94,8754099.00,9164292.00,1497183.00,2362204.00,2508000.00,2796905.00,908003.00,2207968.00,,
2007MAR,27537692.00,9.07,24525697.00,9.04,11203796.00,12176698.00,1991693.00,3226184.00,3205570.00,3753251.00,1145203.00,3011995.00,,
2007APR,22821385.00,7.52,20313964.00,7.49,9176929.00,10224357.00,1610717.00,2872177.00,2645416.00,3096047.00,912678.00,2507421.00,,
2007MAY,22758687.00,7.50,20249786.00,7.46,9149547.00,10184104.00,1626816.00,2787300.00,2582624.00,3187364.00,916135.00,2508901.00,,
2007JUN,28708910.00,9.46,25519113.00,9.40,11467676.00,12911230.00,2153867.00,3517863.00,3172179.00,4067321.00,1140207.00,3189797.00,,
2007JUL,22968978.00,7.57,20411556.00,7.52,9085622.00,10411708.00,1769731.00,2904456.00,2613745.00,3123776.00,914226.00,2557422.00,,
2007AUG,22526326.00,7.42,20044422.00,7.39,9078779.00,10094146.00,1711529.00,2754126.00,2538944.00,3089547.00,871497.00,2481904.00,,
2007SEP,28264333.00,9.31,25086131.00,9.24,11290430.00,12656579.00,2115398.00,3598230.00,3153275.00,3789676.00,1139122.00,3178202.00,,
2007OCT,23420445.00,7.71,20879586.00,7.69,9136977.00,10695594.00,1899001.00,2989692.00,2665301.00,3141600.00,1047015.00,2540859.00,,
2007NOV,25722074.00,8.47,23041674.00,8.49,9647797.00,12082569.00,2400102.00,3255550.00,2846149.00,3580768.00,1311308.00,2680400.00,TOTAL SALES IN 2007 £000s,
2007DEC,37390318.00,12.31,34119648.00,12.57,13568405.00,19042418.00,3898824.00,5523289.00,4096334.00,5523971.00,1508825.00,3270670.00,"30,36,21,212","27,13,52,215"
2008JAN,27276286.00,8.49,24136356.00,8.47,11065009.00,11901148.00,1972867.00,3027332.00,3398180.00,3502769.00,1170199.00,3139930.00,,
2008FEB,22589784.00,7.03,19942966.00,7.00,9351762.00,9567517.00,1548252.00,2441297.00,2465444.00,3112524.00,1023687.00,2646818.00,,
2008MAR,28755609.00,8.95,25357244.00,8.90,11763351.00,12390426.00,1984802.00,3204098.00,3223750.00,3977776.00,1203467.00,3398365.00,,
2008APR,23382733.00,7.28,20487131.00,7.19,9464167.00,10020882.00,1575744.00,2611735.00,2575640.00,3257763.00,1002082.00,2895602.00,,
2008MAY,24433252.00,7.61,21576326.00,7.57,9860941.00,10759680.00,1644521.00,3017265.00,2668500.00,3429394.00,955705.00,2856926.00,,
2008JUN,30117203.00,9.38,26356826.00,9.25,12230818.00,12922953.00,2091303.00,3475291.00,3077340.00,4279019.00,1203055.00,3760377.00,,
2008JUL,24266529.00,7.56,21175606.00,7.43,9719660.00,10532658.00,1692316.00,2942195.00,2508208.00,3389939.00,923288.00,3090923.00,,
2008AUG,23632257.00,7.36,20801262.00,7.30,9618341.00,10265693.00,1647670.00,2858241.00,2505263.00,3254519.00,917228.00,2830995.00,,
2008SEP,29485512.00,9.18,25847176.00,9.07,11984152.00,12634910.00,2017753.00,3554730.00,3046700.00,4015727.00,1228114.00,3638336.00,,
2008OCT,24188870.00,7.53,21502172.00,7.54,9802797.00,10595213.00,1791318.00,3007118.00,2543301.00,3253476.00,1104162.00,2686698.00,,
2008NOV,26152010.00,8.14,23667164.00,8.30,10348068.00,11940790.00,2331625.00,3289905.00,2708556.00,3610704.00,1378306.00,2484846.00,TOTAL SALES IN 2008 £000s,
2008DEC,36897847.00,11.49,34221834.00,12.00,13953062.00,18617175.00,3741513.00,5337397.00,3924985.00,5613280.00,1651597.00,2676013.00,"32,11,77,892","28,50,72,063"
2009JAN,21899450.00,6.89,19700636.00,6.91,9393786.00,9333934.00,1532485.00,2526541.00,2490976.00,2783932.00,972916.00,2198814.00,,
2009FEB,21906660.00,6.90,19637054.00,6.88,9840019.00,8846108.00,1456191.00,2378295.00,2200627.00,2810995.00,950927.00,2269606.00,,
2009MAR,28457603.00,8.96,25517897.00,8.95,12479199.00,11778248.00,1966494.00,3250064.00,2841055.00,3720635.00,1260450.00,2939706.00,,
2009APR,23544515.00,7.41,21166756.00,7.42,10241510.00,9924281.00,1620245.00,2802668.00,2418276.00,3083092.00,1000965.00,2377759.00,,
2009MAY,23664678.00,7.45,21197133.00,7.43,10263297.00,9952238.00,1670476.00,2772194.00,2394844.00,3114724.00,981598.00,2467545.00,,
2009JUN,30284173.00,9.53,26956627.00,9.45,13092443.00,12625906.00,2145696.00,3613325.00,2813095.00,4053790.00,1238278.00,3327546.00,,
2009JUL,24258813.00,7.64,21662680.00,7.59,10211458.00,10417798.00,1733593.00,3002368.00,2399484.00,3282353.00,1033424.00,2596133.00,,
2009AUG,23803622.00,7.49,21214467.00,7.44,10138813.00,10032385.00,1693271.00,2767575.00,2414530.00,3157009.00,1043269.00,2589155.00,,
2009SEP,29726932.00,9.36,26413006.00,9.26,12493773.00,12528468.00,2107664.00,3575177.00,3012007.00,3833620.00,1390765.00,3313926.00,,
2009OCT,24887690.00,7.83,22186786.00,7.78,10116509.00,10845397.00,1902350.00,3104173.00,2604379.00,3234495.00,1224880.00,2700904.00,,
2009NOV,26979279.00,8.49,24375987.00,8.54,10660562.00,12187813.00,2417927.00,3289900.00,2750485.00,3729501.00,1527612.00,2603292.00,TOTAL SALES IN 2009 £000s,
2009DEC,38244554.00,12.04,35244284.00,12.35,14701359.00,18781991.00,3759919.00,5397606.00,3955646.00,5668820.00,1760934.00,3000270.00,"31,76,57,969","28,52,73,313"
2010JAN,21909105.00,6.72,19691652.00,6.74,9642202.00,9000385.00,1633579.00,2594403.00,2207207.00,2565196.00,1049065.00,2217453.00,,
2010FEB,22775971.00,6.98,20335561.00,6.96,9905489.00,9316974.00,1626269.00,2537206.00,2247283.00,2906216.00,1113098.00,2440410.00,,
2010MAR,29825904.00,9.14,26610569.00,9.10,12865346.00,12324456.00,2160627.00,3431744.00,2971319.00,3760766.00,1420767.00,3215335.00,,
2010APR,24161435.00,7.41,21439863.00,7.33,10116999.00,10210379.00,1716662.00,2978047.00,2404186.00,3111484.00,1112485.00,2721572.00,,
2010MAY,24703920.00,7.57,21931089.00,7.50,10491371.00,10337876.00,1813845.00,2940404.00,2399104.00,3184523.00,1101842.00,2772831.00,,
2010JUN,30942070.00,9.48,27600092.00,9.44,13266805.00,12990823.00,2363045.00,3747109.00,2837559.00,4043110.00,1342464.00,3341978.00,,
2010JUL,24992039.00,7.66,22250933.00,7.61,10336244.00,10765678.00,1846779.00,3143887.00,2363433.00,3411579.00,1149011.00,2741106.00,,
2010AUG,24362678.00,7.47,21748082.00,7.44,10177968.00,10407231.00,1820998.00,2938048.00,2331955.00,3316230.00,1162883.00,2614596.00,,
2010SEP,30310375.00,9.29,27058110.00,9.26,12637853.00,12937573.00,2267661.00,3831662.00,2878626.00,3959624.00,1482684.00,3252265.00,,
2010OCT,25433654.00,7.80,22725458.00,7.77,10306372.00,11081656.00,1977658.00,3291085.00,2404009.00,3408904.00,1337430.00,2708196.00,,
2010NOV,27809452.00,8.52,25025523.00,8.56,11005634.00,12416723.00,2481245.00,3529878.00,2506484.00,3899116.00,1603166.00,2783929.00,TOTAL SALES IN 2010 £000s,
2010DEC,39015050.00,11.96,35931170.00,12.29,14997950.00,18893195.00,3968928.00,5604705.00,3471157.00,5848405.00,2040025.00,3083880.00,"32,62,41,653","29,23,48,102"
2011JAN,23599506.00,6.88,20853906.00,6.89,9837579.00,9781668.00,1815041.00,2718542.00,2371088.00,2876997.00,1234659.00,2745600.00,,
2011FEB,23874886.00,6.96,20929348.00,6.91,10175165.00,9467923.00,1697875.00,2603661.00,2146681.00,3019706.00,1286260.00,2945538.00,,
2011MAR,30737218.00,8.96,26913517.00,8.89,12992500.00,12338880.00,2212188.00,3455862.00,2756159.00,3914671.00,1582137.00,3823701.00,,
2011APR,26053292.00,7.59,22894983.00,7.56,11082223.00,10575398.00,1824176.00,3166029.00,2382611.00,3202582.00,1237362.00,3158309.00,,
2011MAY,25602170.00,7.46,22390573.00,7.40,10713345.00,10400142.00,1845784.00,3034993.00,2279488.00,3239877.00,1277086.00,3211597.00,,
2011JUN,32132542.00,9.36,28194225.00,9.31,13509780.00,13058170.00,2393493.00,3891276.00,2742966.00,4030435.00,1626275.00,3938317.00,,
2011JUL,26052650.00,7.59,22846358.00,7.55,10841221.00,10712621.00,1916642.00,3246840.00,2281321.00,3267818.00,1292516.00,3206292.00,,
2011AUG,25337497.00,7.38,22235273.00,7.34,10728902.00,10209212.00,1861050.00,2989790.00,2214103.00,3144269.00,1297159.00,3102224.00,,
2011SEP,31944760.00,9.31,28019758.00,9.25,13381835.00,12962919.00,2346079.00,3874262.00,2826301.00,3916277.00,1675004.00,3925002.00,,
2011OCT,26756527.00,7.80,23571687.00,7.79,10871845.00,11208363.00,2031422.00,3334247.00,2429698.00,3412996.00,1491479.00,3184840.00,,
2011NOV,28939655.00,8.43,25640500.00,8.47,11391568.00,12343302.00,2504732.00,3598474.00,2462272.00,3777824.00,1905630.00,3299155.00,TOTAL SALES IN 2011 £000s,
2011DEC,42128154.00,12.28,38280070.00,12.64,16153018.00,19752540.00,4251936.00,6161988.00,3419685.00,5918931.00,2374512.00,3848084.00,"34,31,58,857","30,27,70,198"
2012JAN,24285975.00,6.92,21295833.00,6.85,10178879.00,9770473.00,1807181.00,2788258.00,2313850.00,2861184.00,1346481.00,2990142.00,,
2012FEB,24599522.00,7.01,21465267.00,6.91,10670514.00,9407651.00,1733707.00,2639216.00,2113887.00,2920841.00,1387102.00,3134255.00,,
2012MAR,32619426.00,9.29,28301864.00,9.11,13583107.00,12931618.00,2406071.00,3675921.00,2818008.00,4031618.00,1787139.00,4317562.00,,
2012APR,25881567.00,7.37,22816326.00,7.34,11045674.00,10378133.00,1961763.00,2990368.00,2343343.00,3082659.00,1392519.00,3065241.00,,
2012MAY,26323317.00,7.50,23144538.00,7.45,11155514.00,10556968.00,2025753.00,3052213.00,2314998.00,3164004.00,1432056.00,3178779.00,,
2012JUN,32915730.00,9.38,29225200.00,9.40,13995751.00,13499840.00,2598731.00,3958005.00,2798158.00,4144946.00,1729609.00,3690530.00,,
2012JUL,26601213.00,7.58,23510030.00,7.57,11139787.00,10916655.00,2052971.00,3266325.00,2273719.00,3323640.00,1453588.00,3091183.00,,
2012AUG,25983249.00,7.40,22911102.00,7.37,11052203.00,10534659.00,1969830.00,3102290.00,2174939.00,3287600.00,1324240.00,3072147.00,,
2012SEP,32900724.00,9.37,28894115.00,9.30,13748169.00,13346564.00,2510264.00,4072578.00,2761169.00,4002553.00,1799382.00,4006609.00,,
2012OCT,27100496.00,7.72,24002151.00,7.72,11051547.00,11322036.00,2152671.00,3432380.00,2327106.00,3409879.00,1628568.00,3098345.00,,
2012NOV,29256391.00,8.33,26221274.00,8.44,11639105.00,12569301.00,2674690.00,3576873.00,2477460.00,3840278.00,2012868.00,3035117.00,TOTAL SALES IN 2012 £000s,
2012DEC,42581157.00,12.13,38969367.00,12.54,16400197.00,19819615.00,4437260.00,6174724.00,3327275.00,5880356.00,2749555.00,3611790.00,"35,10,48,767","31,07,57,067"
2013JAN,24311700.00,6.75,21622005.00,6.73,10447050.00,9650809.00,1921461.00,2814661.00,2217824.00,2696863.00,1524146.00,2689695.00,,
2013FEB,25284298.00,7.02,22260536.00,6.93,10870623.00,9763176.00,1872251.00,2725579.00,2137213.00,3028133.00,1626737.00,3023762.00,,
2013MAR,32803576.00,9.11,28881731.00,9.00,14254594.00,12536312.00,2422984.00,3605324.00,2603147.00,3904857.00,2090825.00,3921845.00,,
2013APR,25932457.00,7.20,22881601.00,7.13,10908804.00,10374008.00,1953125.00,2977265.00,2196363.00,3247255.00,1598789.00,3050856.00,,
2013MAY,27024948.00,7.50,23941512.00,7.46,11512621.00,10779991.00,2037699.00,3151368.00,2298103.00,3292821.00,1648900.00,3083436.00,,
2013JUN,34131335.00,9.48,30322065.00,9.44,14417699.00,13793686.00,2730818.00,4112212.00,2697830.00,4252826.00,2110680.00,3809270.00,,
2013JUL,27746617.00,7.71,24553644.00,7.65,11807849.00,11053940.00,2097251.00,3331320.00,2215731.00,3409638.00,1691855.00,3192973.00,,
2013AUG,26744400.00,7.43,23644763.00,7.36,11359971.00,10593666.00,2063328.00,3187392.00,2081117.00,3261829.00,1691126.00,3099637.00,,
2013SEP,33905309.00,9.42,30056384.00,9.36,14106020.00,13856288.00,2601406.00,4227447.00,2721821.00,4305614.00,2094076.00,3848925.00,,
2013OCT,27741298.00,7.70,24836554.00,7.74,11407598.00,11565701.00,2287464.00,3444656.00,2284077.00,3549504.00,1863255.00,2904744.00,,
2013NOV,30138229.00,8.37,27226954.00,8.48,11987002.00,12909658.00,2800183.00,3795872.00,2338646.00,3974957.00,2330294.00,2911275.00,TOTAL SALES IN 22013 £000s,
2013DEC,44343012.00,12.31,40826985.00,12.72,16933811.00,20754542.00,4804709.00,6385048.00,3307907.00,6256878.00,3138632.00,3516027.00,"36,01,07,179","32,10,54,734"
2014JAN,31677155.00,8.38,28400526.00,8.36,13504985.00,12846517.00,2570099.00,3573493.00,2938427.00,3764498.00,2049024.00,3276629.00,,
2014FEB,26008794.00,6.88,23157544.00,6.82,11206332.00,10042572.00,1956536.00,2683212.00,2169082.00,3233742.00,1908640.00,2851250.00,,
2014MAR,33750105.00,8.93,29849559.00,8.79,14077284.00,13457048.00,2571542.00,3809843.00,2735491.00,4340172.00,2315227.00,3900546.00,,
2014APR,27868043.00,7.37,24953592.00,7.35,11873480.00,11198642.00,2179945.00,3246440.00,2350905.00,3421352.00,1881470.00,2914451.00,,
2014MAY,27878571.00,7.37,24931011.00,7.34,11652982.00,11347126.00,2197911.00,3323915.00,2288780.00,3536520.00,1930903.00,2947560.00,,
2014JUN,35380601.00,9.36,31584964.00,9.30,14665753.00,14521299.00,2819104.00,4327190.00,2832732.00,4542273.00,2397912.00,3795637.00,,
2014JUL,28325398.00,7.49,25273056.00,7.44,11650906.00,11783909.00,2228418.00,3499089.00,2297273.00,3759129.00,1838241.00,3052342.00,,
2014AUG,27493571.00,7.27,24567073.00,7.23,11346210.00,11484800.00,2222499.00,3490028.00,2312631.00,3459642.00,1736063.00,2926498.00,,
2014SEP,34223187.00,9.05,30609246.00,9.01,14133457.00,14134033.00,2753971.00,4138277.00,2859019.00,4382766.00,2341756.00,3613941.00,,
2014OCT,28743226.00,7.60,25899356.00,7.62,11569186.00,12266545.00,2401537.00,3531814.00,2527918.00,3805276.00,2063625.00,2843870.00,,
2014NOV,31757132.00,8.40,28907376.00,8.51,12209861.00,14005915.00,3122360.00,3995931.00,2613293.00,4274331.00,2691600.00,2849756.00,TOTAL SALES IN 2014 £000s,
2014DEC,44947405.00,11.89,41590988.00,12.24,16669037.00,21494771.00,4752145.00,6582121.00,3385666.00,6774839.00,3427180.00,3356417.00,"37,80,53,188","33,97,24,291"
2015JAN,26016412.00,6.94,23446045.00,6.91,10871136.00,10604318.00,2149301.00,2964842.00,2420409.00,3069766.00,1970591.00,2570367.00,,
2015FEB,26231392.00,7.00,23676821.00,6.98,11138333.00,10570143.00,2083867.00,2885341.00,2300392.00,3300543.00,1968345.00,2554571.00,,
2015MAR,34435221.00,9.19,31096343.00,9.16,14616887.00,13926949.00,2706190.00,3954623.00,2993777.00,4272359.00,2552507.00,3338878.00,,
2015APR,27639584.00,7.37,24894511.00,7.33,11221105.00,11624268.00,2190226.00,3400809.00,2474636.00,3558597.00,2049138.00,2745073.00,,
2015MAY,28269365.00,7.54,25478209.00,7.51,11747424.00,11754162.00,2253428.00,3448048.00,2455322.00,3597364.00,1976623.00,2791156.00,,
2015JUN,35700227.00,9.52,32113470.00,9.46,14653516.00,14826938.00,2898643.00,4572127.00,2944839.00,4411329.00,2633016.00,3586757.00,,
2015JUL,28586331.00,7.63,25769645.00,7.59,11569959.00,12098158.00,2354417.00,3600432.00,2516440.00,3626869.00,2101528.00,2816686.00,,
2015AUG,27464505.00,7.33,24755923.00,7.29,11226489.00,11634343.00,2273280.00,3563625.00,2349645.00,3447793.00,1895091.00,2708582.00,,
