Time_Period,All_retailing_including_automotive_fuel,Month_as_a_%_of_Total,All_Retailing_excluding_automotive_fuel,Month_as_a_%_of_Total_excluding_automotive_fuel,Predominantly_food_stores,Total_non-food_stores,Non-specialised_stores,"Textile,_clothing_and_footwear_stores",Household_goods_stores,Other_stores,Non-store_retailing,Automotive_fuel,Total_Annual_Sales_for_All_Retailing_including_automotive_fuel,Total_Annual_Sales_for_All_Retailing_excluding_automotive_fuel
1989DEC,,,18331432.00,13.29,6083942.00,10897563.00,2009075.00,3060752.00,2507636.00,3320100.00,1349927.00,,,"13,79,12,936"
1990JAN,,,10353526.00,7.00,3743169.00,5768568.00,866090.00,1453809.00,1625318.00,1823351.00,841789.00,,,
1990FEB,,,10348983.00,7.00,4013760.00,5482891.00,829009.00,1310560.00,1536305.00,1807017.00,852332.00,,,
1990MAR,,,13178900.00,8.91,5110890.00,6998246.00,1084373.00,1733307.00,1834182.00,2346384.00,1069764.00,,,
1990APR,,,10895797.00,7.37,4229255.00,5805776.00,915459.00,1520614.00,1479031.00,1890672.00,860766.00,,,
1990MAY,,,11120556.00,7.52,4338379.00,5920413.00,899832.00,1603028.00,1469713.00,1947840.00,861764.00,,,
1990JUN,,,13473117.00,9.11,5250688.00,7164353.00,1112817.00,1883257.00,1796179.00,2372100.00,1058076.00,,,
1990JUL,,,11301103.00,7.64,4340509.00,6094471.00,943847.00,1678508.00,1484847.00,1987269.00,866123.00,,,
1990AUG,,,10991239.00,7.43,4275516.00,5871089.00,921268.00,1538901.00,1484376.00,1926544.00,844634.00,,,
1990SEP,,,13613687.00,9.21,5240149.00,7289949.00,1151128.00,1967190.00,1849676.00,2321955.00,1083589.00,,,
1990OCT,,,11289276.00,7.64,4260805.00,6102158.00,947343.00,1574139.00,1598660.00,1982016.00,926313.00,,,
1990NOV,,,12058519.00,8.16,4401096.00,6652489.00,1119341.00,1710232.00,1717696.00,2105220.00,1004934.00,,TOTAL SALES IN 1990 £000s,
1990DEC,,,19213204.00,13.00,6451732.00,11326851.00,2123762.00,3193904.00,2524056.00,3485129.00,1434621.00,,,"14,78,37,907"
1991JAN,,,13377254.00,8.60,5177104.00,7111619.00,1156896.00,1766202.00,1949285.00,2239236.00,1088531.00,,,
1991FEB,,,10520308.00,6.76,4369925.00,5275886.00,826954.00,1237715.00,1443773.00,1767444.00,874497.00,,,
1991MAR,,,14052199.00,9.03,5624622.00,7373912.00,1162271.00,1774827.00,1963390.00,2473424.00,1053665.00,,,
1991APR,,,11280904.00,7.25,4594349.00,5850701.00,944083.00,1493780.00,1467994.00,1944844.00,835854.00,,,
1991MAY,,,11229194.00,7.22,4544005.00,5866533.00,931709.00,1526562.00,1437979.00,1970283.00,818656.00,,,
